0|||
358|0.6|Cheng|J
360|0.6|Cao|Z
360|0.72|Yan|L
361|0.45|Lin|D
363|0.48|Su|H
364|0.52|Lin|G
364|0.55|Liang|H
364|0.5|Ding|X
369|0.5|Tian|H
369|0.79|Cheng|X
370|0.53|Lin|R
373|0.48|Jiang|D
373|0.71|Shen|L
373|0.7|Pan|L
374|0.41|Tsai|J
374|0.85|Hu|B
376|0.7|Feng|J
379|0.73|Fan|J
380|0.38|Ho|P
380|0.45|Wong|T
380|0.85|Lu|L
381|0.56|Xiao|W
382|0.69|Yang|T
383|0.58|Bai|Y
383|0.71|Du|J
384|0.56|Ma|H
384|0.59|Liang|J
385|0.53|Gao|X
386|0.46|Shen|S
387|0.47|Jiang|C
388|0.48|Wei|Q
388|0.75|Yin|J
389|0.57|Yu|T
390|0.76|Fang|L
391|0.42|Chan|T
391|0.44|Guan|X
391|0.56|Han|Z
393|0.64|Peng|C
394|1.05|Ma|L
397|0.53|Ye|S
400|0.67|Jin|Y
400|0.95|Yan|J
402|0.45|Ho|C
402|0.63|Lu|B
403|0.48|Tang|C
404|0.93|Wu|B
404|1.22|Zhu|T
405|0.46|Ma|C
406|0.82|Lin|B
407|0.59|Guo|B
407|0.62|Zhu|B
408|0.54|Zhong|J
409|0.4|Han|M
410|0.5|Fan|Z
415|0.62|Xiao|J
415|0.67|Zhou|Q
416|0.55|Zhu|M
417|0.54|Chang|W
417|0.69|Ma|X
418|0.63|Zheng|H
418|0.6|Tang|H
419|0.57|Tang|X
423|0.55|Zeng|H
423|0.74|Zhou|M
427|0.39|Wong|W
431|0.57|Yin|Y
431|0.71|Fang|J
432|0.41|Zhu|G
433|0.56|Chan|Y
435|0.48|Lau|S
435|0.56|Fu|Y
435|0.5|Qiu|J
437|0.77|Li|R
440|0.35|Wang|A
440|0.65|Shi|W
444|0.93|Xu|T
445|0.41|He|C
445|0.76|Xu|W
445|1.12|Xu|K
445|1.29|Zhou|L
446|0.55|Xie|L
446|0.74|Xu|D
447|0.71|Shi|L
447|0.73|Feng|G
449|0.89|Cao|Y
449|1.1|Wang|N
450|0.35|Lim|H
